RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,RUSHING ATT,RUSHING YDS,RUSHING TD,FL,G,FPTS,FPTS/G,ROST,POS
1,Larry Fitzgerald (FA),58,115,780,13.4,48,0,8,8,14,0,0,16,185.4,11.6,0.2%,WR
2,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
3,Trinity Benson (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
4,Tyron Johnson (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
5,Jeff Smith (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
6,Penny Hart (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
7,Kabion Ento (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
8,Trenton Irwin (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
9,John Ursua (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
10,Scotty Miller (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
11,Bisi Johnson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
12,Darius Slayton (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.0%,WR
13,Quinton Bell (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
14,Juwann Winfree (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
15,Ashton Dulin (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
16,D.J. Montgomery (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
17,Steven Sims Jr. (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
18,Jalen Guyton (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
19,Jason Moore Jr. (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
20,Nsimba Webster (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
21,Alex Bachman (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
22,Malik Henry (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
23,Deonte Harris (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.4%,WR
24,Jayson Stanley (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
25,Olamide Zaccheaus (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,WR
26,Malik Taylor (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
27,Miles Boykin (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
28,Andy Isabella (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
29,Terry Godwin (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
30,Alexander Hollins (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
31,Hunter Renfrow (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,75.0%,WR
32,Collin Johnson (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
33,Deebo Samuel (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.2%,WR
34,J.J. Arcega-Whiteside (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
35,Hakeem Butler (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
36,Kelvin Harmon (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
37,Marquise Brown (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,93.9%,WR
38,Parris Campbell (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.3%,WR
39,Bryan Edwards (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,17.1%,WR
40,Greg Dortch (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
41,Tyler Johnson (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.3%,WR
42,Chase Claypool (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,85.8%,WR
43,Stanley Morgan Jr. (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
44,KeeSean Johnson (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
45,Diontae Johnson (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,96.9%,WR
46,Preston Williams (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
47,Antoine Wesley (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,WR
48,Anthony Ratliff-Williams (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
49,Jakobi Meyers (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,69.8%,WR
50,Lil'Jordan Humphrey (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
51,Mecole Hardman (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,41.2%,WR
52,David Sills V (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
53,Cody Thompson (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
54,Davion Davis (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
55,DeAndre Thompkins (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
56,Travis Fulgham (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
57,Terry McLaurin (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.9%,WR
58,Thomas Ives (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
59,D.K. Metcalf (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.9%,WR
60,Tylan Wallace (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
61,Amon-Ra St. Brown (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,7.0%,WR
62,Rondale Moore (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.0%,WR
63,Rashod Bateman (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,41.3%,WR
64,Jaylen Waddle (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,88.6%,WR
65,Ja'Marr Chase (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.2%,WR
66,Isaiah Coulter (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
67,Kirk Merritt (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
68,Nick Westbrook-Ikhine (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3%,WR
69,Malcolm Perry (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
70,Cody White (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
71,Dezmon Patmon (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
72,Ja'Marcus Bradley (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
73,Freddie Swain (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4%,WR
74,Quez Watkins (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.7%,WR
75,K.J. Osborn (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.4%,WR
76,Aaron Parker (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
77,Chris Finke (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
78,Mason Kinsey (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
79,Lawrence Cager (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
80,Tyrie Cleveland (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
81,Darnell Mooney (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,45.9%,WR
82,DeMichael Harris (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
83,Matt Cole (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
84,JoJo Ward (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
85,Chris Rowland (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
86,Jalen McCleskey (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
87,Josh Pearson (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
88,Travis Jonsen (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
89,Derrick Dillon (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
90,Rysen John (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
91,Manasseh Bailey (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
92,Kendall Hinton (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
93,Kristian Wilkerson (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
94,Tyler Simmons (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
95,Jaylon Moore (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
96,Isaiah Zuber (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
97,Trishton Jackson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
98,Stephen Sullivan (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
99,KJ Hamler (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,WR
100,Brandon Aiyuk (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,72.9%,WR
101,Justin Jefferson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.8%,WR
102,DeVonta Smith (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,86.9%,WR
103,Laviska Shenault Jr. (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,47.4%,WR
104,Jalen Reagor (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,16.8%,WR
105,Tee Higgins (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,90.4%,WR
106,CeeDee Lamb (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.5%,WR
107,Jerry Jeudy (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,86.6%,WR
108,Michael Pittman Jr. (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,93.5%,WR
109,Gunner Olszewski (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
110,Damion Willis (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
111,Tom Kennedy (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
112,Devin Duvernay (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.3%,WR
113,Donovan Peoples-Jones (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,23.3%,WR
114,Binjimen Victor (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
115,Van Jefferson (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,46.6%,WR
116,Jauan Jennings (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
117,Lynn Bowden Jr. (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,WR
118,Juwan Johnson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.6%,WR
119,Quartney Davis (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
120,Tarik Black (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
121,Tyler Vaughns (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
122,Marquez Callaway (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,36.8%,WR
123,Easop Winston Jr. (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
124,Aaron Fuller (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
125,Joe Reed (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
126,Kalija Lipscomb (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
127,Gabriel Davis (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.4%,WR
128,Quintez Cephus (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%,WR
129,Isaiah Hodgins (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WR
